importance,course,mf-format-id,i-format-id,topic
1,MF1,11.37.1,11.2.1,The Greatest Common Factor of Two Monomials
1,MF1,11.37.2,11.2.2,Factoring Polynomials Using GCFs
1,MF1,11.37.3,11.2.3,Factoring Perfect Square Trinomials
1,MF1,11.37.4,11.2.4,Factoring Perfect Square Trinomials With Leading Coefficients
1,MF1,11.37.5,11.2.5,Factoring Differences of Squares
1,MF1,11.37.6,11.2.6,Factoring Trinomials
1,MF1,11.37.7,11.2.7,Factoring Trinomials Using Common Factors
1,MF1,11.37.8,11.2.8,Factoring Trinomials With Leading Coefficients
1,MF1,11.37.9,11.2.9,Further Factoring Trinomials With Leading Coefficients
1,MF2,1.1.14,1.1.14,The Quadratic Formula
2,MF2,1.1.15,1.1.15,The Discriminant of a Quadratic Equation
1,MF2,2.4.1,2.2.1,Further Factoring of Polynomials Using GCFs
1,MF2,2.4.2,2.2.2,Factoring Higher-Order Polynomials as a Difference of Squares
1,MF2,2.4.3,2.2.3,Factoring Cubic Expressions by Grouping
1,MF2,2.4.4,2.2.4,Factoring Sums and Differences of Cubes
1,MF2,2.4.5,2.2.5,Factoring Biquadratic Expressions
2,MF2,2.6.1,2.4.1,The Factor Theorem
3,MF2,2.6.3,2.4.3,Factoring Cubic Polynomials Using the Factor Theorem
3,MF2,2.6.4,2.4.4,Factoring Quartic Polynomials Using the Factor Theorem
3,MF2,2.6.6,2.4.6,The Remainder Theorem
3,MF2,2.6.7,2.4.7,The Rational Roots Theorem
1,MF2,3.9.4,3.2.4,Adding and Subtracting Complex Numbers
1,MF2,3.9.5,3.2.5,Multiplying Complex Numbers
1,MF2,3.9.6,3.2.6,Solving Quadratic Equations With Complex Roots
2,MF2,3.9.7,3.2.7,The Cyclic Property of the Imaginary Unit
1,MF2,3.10.2,3.3.2,The Magnitude of a Complex Number
1,MF2,3.10.3,3.3.3,The Argument of a Complex Number
1,MF2,6.19.6,6.1.6,Expressing Rational Functions as Sums of Partial Fractions
1,MF2,7.24.4,7.1.4,Sigma Notation
1,MF2,7.24.5,7.1.5,Properties of Finite Series
2,MF2,7.26.1,7.3.1,Introduction to Geometric Sequences
2,MF2,7.26.2,7.3.2,The Recursive Formula for a Geometric Sequence
2,MF2,7.26.3,7.3.3,The Nth Term of a Geometric Sequence
2,MF2,7.26.4,7.3.4,Translating Between Explicit and Recursive Formulas for Geometric Sequences
2,MF2,7.26.5,7.3.5,Finding the Common Ratio of a Geometric Sequence Given Two Terms
2,MF2,7.26.6,7.3.6,Determining Indexes of Terms in Geometric Sequences
3,MF2,9.34.1,9.5.1,Graphing Sine and Cosine
2,MF2,9.35.1,9.6.1,Describing Properties of the Sine Function
2,MF2,9.35.2,9.6.2,Describing Properties of the Cosine Function
2,MF2,9.36.1,9.7.1,Vertical Translations of Trigonometric Functions
2,MF2,9.36.2,9.7.2,Vertical Stretches of Trigonometric Functions
2,MF2,9.36.3,9.7.3,Horizontal Translations of Trigonometric Functions
2,MF2,9.36.4,9.7.4,Horizontal Stretches of Trigonometric Functions
2,MF2,9.36.5,9.7.5,Combining Graph Transformations of Sine and Cosine
3,MF2,9.37.1,9.8.1,Properties of Transformed Sine and Cosine Functions
3,MF2,9.37.2,9.8.2,Finding Zeros and Extrema of Transformed Sine and Cosine Functions
1,MF3,1.3.1,1.3.1,The Sum of a Finite Geometric Series
1,MF3,1.3.2,1.3.2,The Sum of the First N Terms of a Geometric Series
1,MF3,1.3.3,1.3.3,Writing Geometric Series in Sigma Notation
1,MF3,1.3.4,1.3.4,Sums of Finite Geometric Series Given in Sigma Notation
2,MF3,1.4.1,1.4.1,Convergence of Geometric Sequences
1,MF3,1.4.7,1.4.7,Finding the Sum of an Infinite Geometric Series
1,MF3,1.4.10,1.4.10,Convergence of Geometric Series
1,MF3,5.15.1,5.3.1,Simplifying Expressions Using Basic Trigonometric Identities
1,MF3,5.15.2,5.3.2,Simplifying Expressions Using the Pythagorean Identity
1,MF3,5.15.3,5.3.3,Alternate Forms of the Pythagorean Identity
1,MF3,5.15.4,5.3.4,Simplifying Expressions Using the Secant-Tangent Identity
