topic,requires
14,1318
14,2240
28,726
28,818
30,1474
30,1475
31,735
32,14
33,31
34,157
34,459
38,40
38,65
38,387
40,1412
64,2561
64,3721
65,134
65,524
65,1412
66,40
66,65
67,66
67,2202
68,1297
68,2183
71,267
71,3721
75,96
79,81
81,137
81,1783
84,117
85,811
85,3721
87,85
87,137
89,352
89,353
89,370
92,63
94,66
94,92
95,94
96,64
96,1987
97,95
104,2119
112,516
112,1848
117,453
121,125
121,2475
121,2561
125,2195
134,329
134,644
135,328
135,645
135,3718
137,3847
138,134
138,135
157,735
165,418
165,802
167,1848
178,3721
203,436
203,611
203,3739
204,112
204,1456
204,1518
205,207
206,1251
206,1491
206,1493
207,203
226,1599
227,905
236,2360
239,2204
239,2310
239,3709
259,275
259,2841
259,3540
259,3557
261,167
267,3561
268,269
268,2271
269,4037
270,3766
271,270
274,3766
275,206
275,784
275,1254
275,1659
275,1661
297,329
313,1691
322,125
323,2202
328,3679
328,3680
329,3679
329,3680
330,3718
340,982
340,3771
343,67
343,135
343,2270
347,4028
349,71
349,655
349,1783
349,3847
350,347
350,388
352,360
353,87
353,349
353,2181
354,3752
356,1413
360,371
363,1359
370,2275
371,79
371,349
371,3873
372,89
375,1424
376,75
376,1822
378,457
379,2607
381,376
381,1819
382,352
384,66
384,96
384,137
387,64
387,2310
388,4034
391,66
391,3561
393,1424
394,1424
396,97
396,557
396,573
396,2183
398,1240
418,138
418,1240
419,450
419,1423
422,813
422,1425
423,68
423,87
425,422
426,651
426,1024
426,2213
428,2337
430,376
430,1927
430,2240
430,4029
433,354
433,430
433,1601
433,2184
435,1676
435,2337
436,435
437,134
437,423
440,435
440,2625
441,370
441,381
450,352
451,1576
451,4029
453,1888
455,2841
455,3735
456,817
457,379
458,4028
459,433
459,573
460,354
460,1404
460,2234
464,14
468,1495
469,655
469,2022
470,64
470,589
496,343
496,1379
496,1509
496,3554
516,610
516,764
516,765
524,297
524,328
525,2356
525,4204
528,564
530,528
533,529
534,1317
539,543
544,543
545,539
545,544
552,553
553,534
557,552
565,3968
567,2378
573,92
573,2281
589,1987
589,2204
609,1597
610,609
610,753
611,633
621,363
631,470
631,1240
633,609
634,1254
643,3721
644,645
645,643
645,2357
651,343
652,322
652,2202
653,426
655,470
655,2607
657,645
657,655
660,370
661,84
661,393
661,422
661,1422
667,2271
668,667
669,667
672,1346
672,2214
673,2271
675,779
679,2271
680,1818
684,686
684,2857
684,3838
685,2215
685,2534
686,981
690,1016
690,1017
691,981
692,1016
696,33
696,660
696,2336
696,2337
708,440
708,2626
724,696
724,1647
725,453
725,2226
725,2227
725,3817
726,378
728,435
735,14
735,2205
752,313
752,923
753,3817
754,1888
755,4250
756,753
757,2119
764,460
764,3980
765,611
779,672
779,673
784,1491
784,1493
784,1586
802,458
802,3821
811,4250
813,371
817,1530
818,378
829,840
829,3543
831,205
831,274
846,469
846,728
847,728
870,1482
884,885
885,684
885,691
885,3826
892,735
893,157
893,1456
894,227
894,936
895,31
895,419
895,425
895,464
896,724
897,896
898,894
905,892
913,1491
914,1491
915,1493
923,1259
925,894
935,459
935,1456
936,935
981,675
981,690
982,981
982,1088
1016,685
1017,673
1017,685
1024,1131
1024,2561
1024,3762
1060,708
1076,207
1076,270
1076,274
1088,680
1088,2048
1131,297
1131,328
1150,3821
1153,391
1153,470
1153,1289
1177,621
1222,3825
1224,267
1226,2271
1240,356
1240,396
1251,3821
1252,3821
1254,1252
1254,1584
1254,1586
1258,1565
1258,1566
1258,1567
1259,1258
1289,125
1297,135
1317,1378
1318,1927
1346,668
1346,669
1359,752
1359,2147
1359,2859
1379,236
1379,297
1379,1378
1404,178
1404,2278
1412,64
1413,137
1413,651
1422,375
1423,813
1424,813
1425,1423
1454,205
1455,205
1456,1848
1462,1379
1463,651
1463,1379
1473,1599
1474,1473
1475,1599
1482,28
1482,1475
1491,1844
1491,2148
1493,1844
1493,2046
1493,2148
1495,394
1495,451
1495,661
1495,1318
1500,1378
1505,2172
1509,2172
1516,92
1516,470
1516,1317
