id,name
2181,The Greatest Common Factor of Two Monomials
353,Factoring Polynomials Using GCFs
352,Factoring Perfect Square Trinomials
382,Factoring Perfect Square Trinomials With Leading Coefficients
370,Factoring Differences of Squares
89,Factoring Trinomials
3577,Factoring Trinomials Using Common Factors
372,Factoring Trinomials With Leading Coefficients
4951,Further Factoring Trinomials With Leading Coefficients
422,The Quadratic Formula
425,The Discriminant of a Quadratic Equation
2337,Further Factoring of Polynomials Using GCFs
660,Factoring Higher-Order Polynomials as a Difference of Squares
428,Factoring Cubic Expressions by Grouping
441,Factoring Sums and Differences of Cubes
2336,Factoring Biquadratic Expressions
846,The Factor Theorem
2119,Factoring Cubic Polynomials Using the Factor Theorem
104,Factoring Quartic Polynomials Using the Factor Theorem
847,The Remainder Theorem
757,The Rational Roots Theorem
31,Adding and Subtracting Complex Numbers
33,Multiplying Complex Numbers
895,Solving Quadratic Equations With Complex Roots
32,The Cyclic Property of the Imaginary Unit
34,The Magnitude of a Complex Number
893,The Argument of a Complex Number
1060,Expressing Rational Functions as Sums of Partial Fractions
673,Sigma Notation
3958,Properties of Finite Series
679,Introduction to Geometric Sequences
1818,The Recursive Formula for a Geometric Sequence
680,The Nth Term of a Geometric Sequence
2215,Translating Between Explicit and Recursive Formulas for Geometric Sequences
2534,Finding the Common Ratio of a Geometric Sequence Given Two Terms
685,Determining Indexes of Terms in Geometric Sequences
1491,Graphing Sine and Cosine
3540,Describing Properties of the Sine Function
3557,Describing Properties of the Cosine Function
206,Vertical Translations of Trigonometric Functions
1661,Vertical Stretches of Trigonometric Functions
1659,Horizontal Translations of Trigonometric Functions
784,Horizontal Stretches of Trigonometric Functions
275,Combining Graph Transformations of Sine and Cosine
2062,Properties of Transformed Sine and Cosine Functions
5088,Finding Zeros and Extrema of Transformed Sine and Cosine Functions
1016,The Sum of a Finite Geometric Series
692,The Sum of the First N Terms of a Geometric Series
1017,Writing Geometric Series in Sigma Notation
690,Sums of Finite Geometric Series Given in Sigma Notation
1088,Convergence of Geometric Sequences
691,Finding the Sum of an Infinite Geometric Series
684,Convergence of Geometric Series
203,Simplifying Expressions Using Basic Trigonometric Identities
207,Simplifying Expressions Using the Pythagorean Identity
205,Alternate Forms of the Pythagorean Identity
1454,Simplifying Expressions Using the Secant-Tangent Identity
3857,Alternate Forms of the Secant-Tangent Identity
1455,Simplifying Trigonometric Expressions Using the Cotangent-Cosecant Identity
270,The Sum and Difference Formulas for Sine
274,The Sum and Difference Formulas for Cosine
1076,Writing Sums of Trigonometric Functions in Amplitude-Phase Form
271,The Double-Angle Formula for Sine
831,The Double-Angle Formula for Cosine
892,The Complex Conjugate
905,Special Properties of the Complex Conjugate
227,Dividing Complex Numbers
894,The Polar Form of a Complex Number
925,De Moivre's Theorem
898,Euler's Formula
3400,The Roots of Unity
4050,Properties of Roots of Unity
896,The Fundamental Theorem of Algebra with Cubic Equations
3653,Solving Cubic Equations With Complex Roots
897,The Fundamental Theorem of Algebra with Quartic Equations
3657,Solving Quartic Equations With Complex Roots
340,Maclaurin Series
3826,Taylor Series
885,Representing Functions as Power Series
884,Recognizing Standard Maclaurin Series
79,"Monomials, Binomials and Trinomials"
85,The Greatest Common Factor of Two Linear Expressions
87,Factoring Linear Expressions
349,The Distributive Law for Polynomials
360,Squaring Binomials
2275,The Difference of Squares Formula
813,Introduction to Quadratic Equations
1425,Perfect Square Quadratic Equations with One or No Solutions
381,The Cube Root of a Perfect Cube With Algebraic Expressions
469,Determining the Roots of Polynomials
728,Dividing Polynomials Using Synthetic Division
394,Solving Quadratic Equations Using a Difference of Squares
1422,Solving Quadratic Equations with Leading Coefficients by Factoring
735,Complex Numbers
419,Solving Quadratic Equations by Completing the Square
464,Quadratic Equations with Purely Imaginary Solutions
14,Imaginary Numbers
157,The Complex Plane
459,The Distance Formula
1456,Calculating Reference Angles
708,Advanced Rational Equations
2271,Introduction to Sequences
1226,Recursive Sequences
1844,Further Extensions of the Special Trigonometric Ratios
2148,Periodic Functions
725,Even and Odd Functions
2707,Local Extrema of Functions
1251,Vertical Translations of Functions
1493,Graphing Tangent and Cotangent
1252,Vertical Stretches of Functions
1584,Horizontal Translations of Functions
1586,Horizontal Stretches of Functions
1254,Combining Graph Transformations: Two Operations
259,Graphing Reflections of Trigonometric Functions
2048,End Behavior of Functions
981,Infinite Series and Partial Sums
686,Writing an Infinite Geometric Series in Sigma Notation
2857,Solving Inequalities Involving Exponential Functions
3838,Further Convergence of Geometric Sequences
436,Dividing Rational Expressions
611,The Reciprocal Trigonometric Ratios
3739,Adding Rational Expressions With No Common Factors in the Denominator
3766,Evaluating Trigonometric Expressions
936,Converting from Polar Coordinates to Cartesian Coordinates
724,The Fundamental Theorem of Algebra for Quadratic Equations
982,Convergent and Divergent Infinite Series
3771,Higher-Degree Taylor Polynomials
81,Adding and Subtracting Polynomials
811,Finding Greatest Common Factors Using Prime Factorization
3721,Constructing Algebraic Expressions
137,Distributing the Negative Sign in a Linear Expression
71,The Product Rule for Exponents With Algebraic Expressions
655,Introduction to Polynomials
1783,Simplifying Polynomials
3847,The Distributive Law With Three Terms
371,Multiplying Binomials
2012,The Power of Product Rule for Exponents
1423,Solving Perfect Square Quadratic Equations
376,The Square Root of a Perfect Square With Algebraic Expressions
1819,The Cube Root of a Perfect Cube
2022,The Roots of a Function
435,Multiplying Rational Expressions
1424,The Zero Product Rule for Solving Quadratic Equations
375,Solving Quadratic Equations by Factoring
2205,The Real Number System
450,Completing the Square
1318,Rationalizing Denominators
2240,The Quotient Rule for Radicals
433,The Pythagorean Theorem
573,Distances Between Points in the Coordinate Plane
1848,Angles in the Coordinate Plane
440,Rational Equations With Three Terms
2626,The Least Common Multiple of Two Polynomials
802,The Domain of a Function
3568,Trigonometric Ratios of Quadrantal Angles Outside the Standard Range
3829,Extending the Trigonometric Ratios to Large Angles
165,Piecewise Functions
453,Graphing Elementary Quadratic Functions
2226,Reflective Symmetry
2227,Rotational Symmetry
3817,Describing Function Composition
1888,Global Extrema of Functions
3821,Graphs of Functions
2046,Unbounded Behavior of Functions Near a Point
2841,Combining Reflections With Other Graph Transformations
97,Horizontal and Vertical Lines
754,The Range of a Function
675,Finding the Sum of an Arithmetic Series
30,Combining the Laws of Logarithms
3737,Solving Exponential Equations With Different Bases Using Logarithms
4034,Further Solving Linear Inequalities
1495,Solving Elementary Quadratic Inequalities
2982,Solving Inequalities Involving Positive and Negative Factors
633,Calculating Trigonometric Ratios Using the Pythagorean Theorem
437,Adding and Subtracting Rational Expressions
268,Finding Trigonometric Ratios of Special Angles Using the Unit Circle
935,Introduction to Polar Coordinates
696,Extending Polynomial Identities to the Complex Numbers
1647,The Complex Conjugate and the Roots of a Quadratic Equation
1222,Third-Degree Taylor Polynomials
4250,The Fundamental Theorem of Arithmetic
63,Introduction to Algebraic Expressions
267,The Product Rule for Exponents
470,Introduction to Functions
2607,Radicals as Fractional Exponents
134,Collecting Like Terms in a Linear Expression
657,The Degree of a Polynomial
135,Applying the Distributive Law With Linear Expressions
3873,Simplifying Linear Expressions When a Group of Terms Is Subtracted
125,Exponents With Rational Bases
75,Rules of Absolute Value
1822,The Square Root of a Perfect Square
2195,Cubing Rational Numbers
3552,Squaring a Square Root
1676,Simplifying Rational Expressions Using Polynomial Factorization
2204,Surds
2558,"Natural Numbers, Integers, and Rational Numbers"
1927,The Product Rule for Radicals
354,Solving Many-Variable Equations
430,Solving Equations Using the Square Root Method
1601,Classifying Triangles
2184,Evaluating Algebraic Radical Expressions
92,The Cartesian Coordinate System
2281,Absolute Value
610,Calculating Angles in Right Triangles Using Trigonometry
764,Introduction to Radians
765,Special Trigonometric Ratios
2625,The Least Common Multiple of Two Monomials
458,Unions of Intervals
261,Coterminal Angles
269,Finding Trigonometric Ratios of Quadrantal Angles
4037,Extending the Trigonometric Ratios Using Angles in Radians
418,Equations of Lines in Point-Slope Form
3535,Reflections of Figures Across Arbitrary Lines
1517,Rotations of Geometric Figures
1985,Function Composition
631,Visual Representations of Functions
1628,Increasing and Decreasing Functions
634,Combining Graph Transformations: Three or More Operations
1150,Vertical Reflections of Functions
1585,Horizontal Reflections of Functions
95,Graphing Linear Equations
779,Expressing an Arithmetic Series in Sigma Notation
1474,The Quotient Rule for Logarithms
1475,The Power Rule for Logarithms
1473,The Product Rule for Logarithms
1583,Solving Exponential Equations With Different Bases
1413,Solving Linear Equations Using Cross-Multiplication
4031,Representing Solutions to Inequalities on Number Lines
451,Absolute Value Inequalities
661,Roots of Quadratic Functions
350,Compound AND Inequalities
1609,Properties of Transformed Exponential Functions
1610,Properties of Transformed Logarithmic Functions
609,The Trigonometric Ratios
423,Simplifying Rational Expressions by Factoring
3825,Analyzing Second-Degree Taylor Polynomials
829,Prime Factors
2321,Evaluating Exponents
3561,Negative Exponents
64,Evaluating Linear Expressions
589,Evaluating Numerical Expressions Containing Radicals
1224,The Power Rule for Exponents
3709,Simplifying Expressions With Surds
329,Adding a Positive Number to a Negative Number
644,Identifying Like Terms in a Linear Expression
645,Identifying Coefficients and Constants in Linear Expressions
328,Adding a Negative Number
3718,Multiplying Negative Numbers
138,Simplifying Linear Expressions Using the Distributive Law
96,Absolute Value Expressions
178,Inequalities
2174,Squaring Rational Numbers
3752,Solving Linear Equations With Unknown Coefficients by Factoring
4029,Further Absolute Value Equations
496,Interior Angles of Triangles
1462,Congruent Segments
753,Introduction to Inverse Functions
460,The Circumference of a Circle
3980,Measuring Angles Using a Protractor
755,Finding Lowest Common Multiples Using Prime Factorization
4028,Unbounded Intervals
167,Negative Angles in the Coordinate Plane
204,Extending the Trigonometric Ratios Using the Unit Circle
1240,Equations of Lines in Slope-Intercept Form
1518,Reflections of Geometric Figures in the Cartesian Plane
1516,Translations of Geometric Figures
6219,Constructing Linear Functions
94,Two-Variable Linear Equations and Their Solutions
672,Determining Indexes of Terms in Arithmetic Sequences
1599,Simplifying Logarithmic Expressions
870,Solving Equations Containing the Exponential Function
651,Solving Linear Equations by Clearing a Rational Expression
4021,Solving Two-Step Inequalities
1576,Compound OR Inequalities
84,Graphs of General Quadratic Functions
