unit-id,unit-name
1.1,Fractions
1.2,Ratios & Percentages
1.3,The Number System
1.4,Exponents & Radicals
1.5,Equations & Inequalities
1.6,Two-Variable Equations
1.7,Radical & Rational Expressions
1.8,Functions
1.9,Absolute Value
1.10,Exponential Functions
1.11,Polynomials
1.12,Geometry Fundamentals
1.13,Polygons
2.1,Quadratics
2.2,Polynomials
2.3,Number Systems
2.4,Functions
2.5,Exponentials & Logarithms
2.6,Radical & Rational Functions
2.7,Sequences
2.8,Geometry
2.9,Trigonometry
3.1,Sequences and Series
3.2,Inequalities
3.3,Parametric & Polar Coordinates
3.5,Trigonometry
3.6,Complex Numbers
3.7,Limits & Continuity
3.8,Differentiation
3.10,Integration Techniques
